epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
69,5732.27,0.97377,2.8939,0.27513,0.54661,0.02232,3.67495,0.97035,0.97064,0.99139,0.81667,0.94071,0.91297,0.93948,0.51847,0.7693,2.24653,0.34776,0.25023,0.02474,0,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,5812.39,0.95816,2.8901,0.27318,0.55263,0.02182,3.64946,0.97024,0.96947,0.9911,0.81922,0.93926,0.91192,0.93774,0.51934,0.7601,2.2469,0.34925,0.2488,0.02456,0,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,5895.35,0.96581,2.90077,0.2739,0.56144,0.02211,3.7065,0.97348,0.96998,0.99124,0.81998,0.93967,0.91133,0.93572,0.52399,0.75761,2.23965,0.35048,0.24446,0.02448,0,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,5977.37,0.95201,2.83063,0.27232,0.55399,0.0217,3.56806,0.97431,0.97005,0.99089,0.82108,0.93527,0.91633,0.94006,0.52665,0.74707,2.22293,0.34891,0.24762,0.02407,0,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,6056.97,0.96065,2.80994,0.27098,0.55145,0.02196,3.5161,0.97057,0.96826,0.99104,0.82229,0.93697,0.90664,0.93462,0.52697,0.75635,2.22679,0.3466,0.24851,0.02437,0,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,6138.05,0.96313,2.85021,0.27293,0.55502,0.02205,3.56591,0.96787,0.97285,0.99064,0.82247,0.92701,0.90898,0.93035,0.52126,0.7564,2.23756,0.34626,0.24904,0.02439,0,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,6217.87,0.95339,2.78191,0.27069,0.54998,0.02182,3.46172,0.9694,0.96738,0.99049,0.81901,0.93534,0.90135,0.9343,0.52761,0.76119,2.23178,0.34579,0.2498,0.0245,0,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,6297.61,0.94993,2.78548,0.26874,0.55025,0.02177,3.45488,0.97662,0.97005,0.99162,0.82606,0.94237,0.91214,0.93846,0.52726,0.74768,2.22634,0.34584,0.23965,0.02413,0,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,6380.61,0.94637,2.72987,0.2699,0.54099,0.02158,3.41413,0.96958,0.9733,0.99168,0.82769,0.93647,0.90957,0.93791,0.52892,0.74349,2.2158,0.34669,0.24293,0.02393,0,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,6461.92,0.94658,2.6987,0.26683,0.54437,0.02166,3.36475,0.97586,0.9677,0.99191,0.83039,0.9391,0.91779,0.94123,0.53171,0.73737,2.20357,0.34508,0.23715,0.0237,0,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,6541.82,0.93567,2.69367,0.26813,0.55196,0.02147,3.35582,0.97385,0.96829,0.99139,0.83064,0.94111,0.91662,0.93917,0.52873,0.73184,2.20913,0.34508,0.24609,0.02345,0,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,6622.66,0.94193,2.70631,0.26815,0.5402,0.02143,3.35318,0.97126,0.97219,0.99161,0.82927,0.93624,0.9172,0.93764,0.53044,0.73649,2.20489,0.34558,0.24279,0.02363,0,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,6701.76,0.93411,2.65741,0.27042,0.53784,0.02129,3.23927,0.96685,0.97605,0.99163,0.82865,0.93651,0.91544,0.937,0.52786,0.73397,2.20257,0.34519,0.24497,0.02353,0,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,6781.39,0.93456,2.64417,0.26662,0.537,0.02134,3.28349,0.97803,0.96699,0.99122,0.82685,0.93938,0.91911,0.94071,0.533,0.74105,2.19472,0.34565,0.23965,0.02381,0,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,6864.89,0.933,2.68539,0.26494,0.53203,0.02116,3.28578,0.9768,0.96433,0.99113,0.82908,0.93733,0.91192,0.93572,0.53031,0.73985,2.18461,0.34516,0.24436,0.02376,0,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,6946.6,0.92873,2.62883,0.26748,0.53029,0.02118,3.23853,0.97402,0.96852,0.99153,0.82701,0.93829,0.91251,0.9349,0.52791,0.74377,2.18114,0.34507,0.24098,0.0239,0,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
